"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 00:00","2020","06","01","00:00","11.7","","9.3","","85","","0.0","","31","","18","","16.1","","93.39","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 01:00","2020","06","01","01:00","14.1","","8.0","","66","","0.0","","28","","41","","16.1","","93.47","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 02:00","2020","06","01","02:00","13.6","","4.8","","55","","0.0","","27","","48","","16.1","","93.50","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 03:00","2020","06","01","03:00","13.1","","3.3","","51","","0.0","","27","","41","","16.1","","93.64","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 04:00","2020","06","01","04:00","12.7","","2.3","","49","","0.0","","27","","37","","16.1","","93.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 05:00","2020","06","01","05:00","12.2","","2.4","","51","","0.0","","27","","41","","16.1","","93.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 06:00","2020","06","01","06:00","11.9","","3.8","","57","","0.0","","27","","39","","16.1","","93.79","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 07:00","2020","06","01","07:00","12.7","","3.9","","55","","0.0","","26","","35","","16.1","","93.83","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 08:00","2020","06","01","08:00","13.5","","4.4","","54","","0.0","","28","","46","","16.1","","93.87","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 09:00","2020","06","01","09:00","14.4","","4.2","","50","","0.0","","27","","48","","16.1","","93.91","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 10:00","2020","06","01","10:00","15.4","","3.9","","46","","0.0","","27","","43","","16.1","","93.95","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 11:00","2020","06","01","11:00","16.0","","4.8","","47","","0.0","","27","","35","","16.1","","94.00","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 12:00","2020","06","01","12:00","16.4","","4.2","","44","","0.0","","28","","39","","16.1","","94.04","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 13:00","2020","06","01","13:00","17.2","","4.1","","41","","0.0","","28","","37","","16.1","","94.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 14:00","2020","06","01","14:00","17.0","","5.7","","47","","0.0","","29","","28","","16.1","","94.04","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 15:00","2020","06","01","15:00","15.1","","2.9","","44","","0.0","","28","","34","","16.1","","94.04","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 16:00","2020","06","01","16:00","16.0","","4.8","","47","","0.0","","30","","32","","16.1","","94.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 17:00","2020","06","01","17:00","16.7","","3.8","","42","","0.0","","29","","30","","16.1","","94.07","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 18:00","2020","06","01","18:00","17.2","","3.4","","39","","0.0","","28","","30","","16.1","","94.09","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 19:00","2020","06","01","19:00","15.9","","2.2","","39","","0.0","","28","","28","","16.1","","94.11","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 20:00","2020","06","01","20:00","15.2","","3.1","","44","","0.0","","27","","18","","16.1","","94.15","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 21:00","2020","06","01","21:00","13.7","","2.4","","46","","0.0","","23","","8","","16.1","","94.19","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 22:00","2020","06","01","22:00","11.9","","2.3","","52","","0.0","","23","","9","","16.1","","94.21","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-01 23:00","2020","06","01","23:00","11.4","","1.3","","50","","0.0","","24","","13","","16.1","","94.25","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 00:00","2020","06","02","00:00","11.4","","0.5","","47","","0.0","","24","","11","","16.1","","94.26","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 01:00","2020","06","02","01:00","11.3","","0.1","","46","","0.0","","25","","17","","16.1","","94.27","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 02:00","2020","06","02","02:00","11.0","","-0.3","","46","","0.0","","24","","17","","16.1","","94.29","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 03:00","2020","06","02","03:00","11.0","","-0.5","","45","","0.0","","24","","18","","16.1","","94.31","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 04:00","2020","06","02","04:00","10.5","","-0.6","","46","","0.0","","24","","15","","16.1","","94.34","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 05:00","2020","06","02","05:00","9.1","","1.3","","58","","0.0","","","","0","","16.1","","94.36","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2020-06-02 06:00","2020","06","02","06:00","9.5","","2.3","","61","","0.0","","11","","8","","16.1","","94.37","","","","","","NA"
