"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 00:00","2021","09","01","00:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 01:00","2021","09","01","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 02:00","2021","09","01","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 03:00","2021","09","01","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 04:00","2021","09","01","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 05:00","2021","09","01","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 06:00","2021","09","01","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 07:00","2021","09","01","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 08:00","2021","09","01","08:00","11.0","","10.2","","95","","0.2","","31","","17","","","M","93.65","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 09:00","2021","09","01","09:00","11.0","","9.9","","93","","1.5","","32","","17","","16.1","","93.69","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 10:00","2021","09","01","10:00","11.3","","10.0","","92","","0.0","","31","","22","","16.1","","93.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 11:00","2021","09","01","11:00","11.5","","10.1","","91","","2.2","","30","","22","","16.1","","93.78","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 12:00","2021","09","01","12:00","11.8","","9.9","","88","","0.0","","31","","18","","16.1","","93.82","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 13:00","2021","09","01","13:00","12.1","","9.7","","85","","0.0","","32","","17","","16.1","","93.89","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 14:00","2021","09","01","14:00","11.8","","10.0","","89","","0.0","","31","","21","","16.1","","93.95","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 15:00","2021","09","01","15:00","12.2","","10.5","","89","","0.0","","32","","17","","16.1","","94.02","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 16:00","2021","09","01","16:00","12.5","","10.4","","87","","0.0","","31","","21","","16.1","","94.08","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 17:00","2021","09","01","17:00","12.3","","10.1","","86","","0.0","","31","","21","","16.1","","94.17","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 18:00","2021","09","01","18:00","12.0","","10.8","","92","","0.0","","30","","28","","12.9","","94.19","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 19:00","2021","09","01","19:00","11.9","","11.0","","94","","0.8","","30","","26","","8.1","","94.24","","","","","","Rain,Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 20:00","2021","09","01","20:00","11.9","","11.1","","95","","1.0","","30","","26","","14.5","","94.30","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 21:00","2021","09","01","21:00","11.6","","10.2","","91","","1.0","","31","","17","","16.1","","94.36","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 22:00","2021","09","01","22:00","11.5","","10.4","","93","","0.2","","30","","17","","4.8","","94.37","","","","","","Rain,Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-01 23:00","2021","09","01","23:00","11.3","","10.9","","97","","1.2","","29","","30","","2.4","","94.36","","","","","","Rain,Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 00:00","2021","09","02","00:00","11.3","","10.9","","97","","1.0","","29","","34","","2.8","","94.36","","","","","","Rain,Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 01:00","2021","09","02","01:00","11.6","","10.6","","93","","0.2","","30","","32","","16.1","","94.41","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 02:00","2021","09","02","02:00","11.6","","10.5","","93","","0.5","","30","","32","","12.9","","94.43","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 03:00","2021","09","02","03:00","11.8","","10.5","","92","","0.2","","30","","30","","16.1","","94.45","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 04:00","2021","09","02","04:00","12.0","","10.2","","89","","0.2","","30","","30","","16.1","","94.52","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 05:00","2021","09","02","05:00","11.1","","10.2","","94","","0.0","","28","","35","","9.7","","94.55","","","","","","Rain,Fog"
